pchembl_value,canonical_smiles
5.8,NC(CC(=O)Nc1cc(C(F)(F)F)ccc1Cl)=NO
7.7,Cc1cc(C(C)(C)C)cc(CNC2CCCCC2)c1O
5.3,c1cncc(CNc2ccnc(-c3ccc4c(c3)OCO4)n2)c1
4.8,Cc1cnc(CNc2ncnc3ccc(-c4ccccc4C)cc23)cn1
5.5,COc1ccccc1CNc1ncnc2ccc(-c3ccccc3OC)cc12
4.4,COC(=O)c1c(-c2cc(OC)c(OC)c(OC)c2)c2ccnc(OCc3ncccn3)c2c(=O)n1Cc1ccnc(C)c1
5.3,Cn1c(=O)c2c(nc(NCCNc3nc4c(c(=O)n(C)c(=O)n4C)n3C)n2C)n(C)c1=O
5.4,CN(C)c1ccc(-c2cncnc2-n2ccnc2)cc1
4.4,CCCOC(=O)c1c(-c2ccccc2)nc(CC)c(C(=O)SCC)c1CCC
4.9,Cc1ccccc1-c1cc(N(C)C)ncn1
5.7,N#Cc1cccc(NC(=O)N2CC3(CCN(C(=O)c4ccco4)CC3)C2)c1
5.1,CN(C)c1ccc(-c2cc(-n3ccnc3)ncn2)cc1
4.6,COCCNc1ncnc2ccc(-c3ccc(N(C)C)cc3)cc12
6.6,COC(=O)[C@H](C)[C@H]1C[C@]1(C)[C@H](NC(=O)OCc1ccccc1)c1ccccc1
5.6,O=C(Oc1ccccc1)N1CCC[C@@]2(CCN(c3ncccn3)C2)C1
5.5,Cc1c(Cl)cc(C(C)(C)C)c(O)c1Cc1c(C)c(Cl)cc(C(C)(C)C)c1O
5.2,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]1O
5.0,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12
5.1,Clc1ccccc1-c1nccc(NCc2ccccc2)n1
7.2,NS(=O)(=O)c1nc(S(=O)(=O)O)c2[nH]cnc2n1
4.9,COC(=O)[C@@]1(Cc2ccc(F)cc2)[C@H]2c3cc(C(=O)N(C)C)n(Cc4ccsc4Br)c3C[C@H]2CN1C(=O)c1ccccc1
4.7,CNCC/C=C\c1cccnc1
5.4,COc1cc(O)c(C(=O)/C=C\c2ccc3c(c2)OCO3)c(OC)c1
5.0,CCCN1CCC[C@@H]2Cc3[nH]ncc3C[C@H]21
4.4,O=C(O)CCC(=O)N1CCC[C@H]1C(=O)O
5.9,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccccc2)cc1.O=C(O)C(=O)O.O=C([O-])C(=O)O
5.1,COc1cccc(-c2cc(NCc3ccccc3)ncn2)c1
4.4,COCCn1c(=O)c(-c2cc(F)cc(F)c2)nc2cnc(Oc3ccccc3)nc21
4.4,COc1ccc2[nH]cc(CCNc3cc(-c4ccc(C(=O)N(C)C)cc4)ncn3)c2c1
5.0,CCn1ccnc1C[C@@H]1COc2ccccc2O1
5.0,COc1ccc2c(c1)c(CC(=O)O)c(C)n2Cc1ccc(F)cc1
5.4,O=C(c1ccco1)N1CCC2(CC1)CN(c1cccc(-c3ccccc3)c1)C2
4.8,O=C(NCc1cc(F)cc2c1OCCO2)[C@H]1C[C@@H]1[C@H](NP(=O)(c1ccccc1)c1ccccc1)c1ccccc1
5.7,N#C[C@@H](/N=N\c1ccccc1C(=O)O)C(N)=O
5.3,C[C@@H](Cc1ccc(OCC(=O)O)cc1)NC[C@H](O)c1cccc(Cl)c1
5.4,COc1ccc(NC(=O)/C=C\c2ccc(Cl)cc2)cc1
4.6,CC1N(P(=O)(c2ccccc2)c2ccccc2)CC(O)(c2ccccc2)CC12CC2
4.5,Cc1cnc(CNc2ncnc3ccc(-c4ccccc4CN(C)C)cc23)cn1
4.4,COC(=O)C1(C)C=C2C(=C(c3ccccc3)C(=O)C2C)CN1
5.5,Cc1c2ccncc2c(C)c2c1[nH]c1ccccc12
4.8,CNCCCCCCCCSc1nc(C(C)C)ccc1C(=O)c1cccs1.O=C(O)CC(=O)O
5.4,O=S(=O)(O)c1cc(/N=[N+](\[O-])c2cc(S(=O)(=O)O)c3ccccc3c2)cc2ccccc12
4.4,COc1ccc(-n2c(=O)c(C)nc3cnc(Oc4cccc(Cl)c4)nc32)cc1
4.8,Cc1cnc(CNc2ncnc3ccc(-c4ccc(N(C)C)cc4)cc23)cn1
5.0,COc1cccc(-c2ccc3ncnc(NCc4ccc(OC)cc4OC)c3c2)c1
5.0,COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1OC
4.4,COc1cc2ccc(=O)oc2c(O)c1O
5.2,COc1ccccc1CNc1cc(-c2cccc(C#N)c2)ncn1
5.3,COC(=O)[C@@]1(Cc2ccc(OC)cc2)[C@H]2c3cc(C(=O)N(C)C)[nH]c3C[C@H]2CN1C(=O)c1ccccc1
4.8,COc1ncc2nc(-c3cn(C)c4ccccc34)c(=O)n(Cc3ccc(F)cc3)c2n1
5.7,Cc1ccccc1-c1ccc2ncnc(NCc3cccs3)c2c1
5.2,Cn1c([N+](=O)[O-])cnc1CN1CCN(CCO)CC1
5.1,CC(C)CC(=O)C[C@H](O)C(Cl)(Cl)Cl
4.5,N#CCCn1c(=O)c(CCc2ccccc2)nc2cnc(Oc3ccccc3)nc21
6.3,CN(C/C=C\c1ccccc1)Cc1cccc2ccccc12
6.2,O=C(O)C[C@H]1OCC=C2CN3CC[C@@]45C6=CC(=O)C(=O)C([N+](=O)[O-])=C6N[C@H]4[C@H]1[C@H]2C[C@@H]35
5.9,CCN(Cc1cc(Cl)cc(C)c1O)Cc1c(O)ccc2ccccc12
4.4,COCCn1c(=O)c(-c2cccc(C#N)c2)nc2cnc(Oc3ccccc3)nc21
8.3,CC(C)(C)c1ccc(OCC(=O)O)c(Cl)c1
5.4,CC1CN2C(CCC(C)C2c2ccc(Br)cc2)C(=O)O1
5.4,CC(C)NC[C@@H](O)c1ccc(O)c2ncccc12
6.7,c1cncc(CNc2ncncc2-c2ccc3c(c2)OCO3)c1
5.1,CSc1ccc2c(c1)[C@H](N1CCN(C)CC1)Cc1ccccc1S2
4.6,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
8.0,CC(C)(C)c1ccc([C@@H](O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
5.8,N[C@@H](Cc1c[nH]c2cc([N+](=O)[O-])ccc12)C(=O)O.O=[N+]([O-])O
5.8,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2
7.2,C[C@@H]1CCC[C@H](C)N1
4.7,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O
5.8,COc1ccccc1CNc1ccnc(-c2ccccc2Cl)n1
4.5,CN/C(=N\CCSCc1nc[nH]c1C)NC#N
5.5,O=C(O)/C=C\c1c2ccc(=O)c(O)c-2oc2c(O)c(O)ccc12
4.4,CC(C)c1cccc2cc3c(nc12)-c1cccc(=O)n1C3
5.7,COc1ncc2ncc(=O)n(CCc3ccccc3)c2n1
6.6,C[C@@H](C(=O)Nc1ccc2ccccc2c1)[C@H]1C[C@]1(C)[C@H](NS(=O)(=O)c1ccc2ccccc2c1)c1ccccc1
4.9,COc1ccc(-n2c(=O)c(CCc3ccccc3)nc3cncnc32)cc1
5.7,CC(C)c1nccn1Cc1ccc(Cl)cc1Cl.O=[N+]([O-])O
5.1,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1
5.0,Cn1cc(-c2nc3cnc(N4CCNCC4)nc3n(C)c2=O)c2ccccc21
