pchembl_value,canonical_smiles
5.2,COc1cc(Br)cc(/C=N/NC(=O)C(C)n2cc([N+](=O)[O-])c(OC)n2)c1O
5.4,N[C@@H](CSC1(c2ccc(Cl)cc2)c2ccccc2-c2ccccc21)C(=O)O
5.1,CN1CCN(c2ncc3nc(-c4ccccc4)c(=O)n(-c4ccccc4)c3n2)CC1
4.85,Cl.O=C(NCCCn1ccnc1)c1ccc(S(=O)(=O)N2CCCCCC2)cc1
4.9,Cc1ccccc1-c1cncnc1NCc1ccccc1
5.7,COc1ccc(-c2nc3c(=O)n(C)c(=O)n(C)c3[nH]2)c(OC)c1
4.8,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3
4.6,CN1CCN(c2ncnc3ccc(-c4cccc(NS(C)(=O)=O)c4)cc23)CC1
5.45,COc1cc(Br)cc2cc(C(=O)NCC3CCCO3)c(=O)oc12
4.95,COC(=O)c1c(C)oc2ccc(N(C(=O)c3ccncc3)S(=O)(=O)c3ccccc3)cc12
7.25,Cl.c1ccc2c(c1)oc1c(NCCCn3ccnc3)ncnc12
7.3,C[C@@H](N)Cn1ccc2cc(F)c(Cl)cc21
4.9,CC1=NN(c2ccccc2)C(=O)C1
4.6,CC(C)=CC(=O)OCC(=O)Nc1ncc(Cl)c(C)c1Cl
5.3,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12
4.7,CCOC(=O)c1sc(N(Cc2ccccc2)C(=O)CN2C(=O)CN(C)C2=O)nc1C
4.85,O=C(NCCO)c1cc2c(s1)CCC2
4.8,Cn1c(CC(=O)Nc2ccc(Cl)c(Cl)c2)nnc1SCC(=O)N1CCN(c2ccccc2)CC1
5.9,N#C/C(=C\c1c[nH]c2ccccc12)C(=O)c1ccc(O)c(O)c1
5.05,Cc1s/c(=N\C(=O)c2ccco2)n(C)c1-c1ccc(F)cc1
5.5,COc1cccc(Nc2ncc3nc(-c4ccc(F)cc4)c(=O)n(C[C@H]4CCCO4)c3n2)c1
4.7,CS(=O)(=O)N1CCC2(CC1)CN(c1ccccc1)C2
6.0,C=CCn1cc(/C=N\NC(=O)c2cc3c(ccc4ccccc43)o2)c2ccccc21
7.9,Cn1ccc2cc(NC(=O)Nc3cccnc3)ccc21
4.9,Cn1cccc1C(=O)N1CCC[C@@]2(CCN(c3ccncc3)C2)C1
4.8,COc1ccc(CNc2ncncc2-c2ccc(C(=O)N(C)C)cc2)c(OC)c1
4.6,CCOc1ccc(N2C(=O)C3C4C=CC(CC4)C3C2=O)c([N+](=O)[O-])c1
5.35,O=C(CCC(=O)OCc1ccc(Cl)cc1)Nc1cccc([N+](=O)[O-])c1
4.75,O=C1COc2ccc(NC(=O)N3CCN(c4ccccc4Cl)CC3)cc2N1
5.2,C[N+](C)(C)CC#CCOC(=O)Nc1cccc(Cl)c1
4.8,CCOc1cc(C)ccc1OCc1nnc(SCC(=O)c2cccc([N+](=O)[O-])c2)n1C
5.5,CC(NC(=O)c1ccccc1)(C(=O)O)C(=O)O
6.3,COc1ccc(CNc2ncncc2-c2ccc3c(c2)OCO3)c(OC)c1
5.4,Cc1cccc(NC(=O)C2(c3ccccc3)CC2(Cl)Cl)c1
4.55,CCCC(=O)Nc1c(-c2cccs2)c(=O)c2ccccc2n1CC
5.6,Cn1c(=O)c(-c2ccc(F)cc2)nc2cnc(N3CCOCC3)nc21
5.4,Cc1nc2cnc(N(C)C)nc2n(C2CC2)c1=O
5.5,O=C(Nc1cc(Sc2ccccn2)cc([N+](=O)[O-])c1)c1ccc([N+](=O)[O-])cc1
4.65,COc1ccc(N2CCc3c(C)nc4c(OC)cc(OC)cc4c32)c(OC)c1
4.6,COc1ccc(Oc2ncc3nc(C)c(=O)n(CCC#N)c3n2)cc1
5.5,COc1cccc(CC(C(=O)Nc2cc(C)ccc2C)c2nn[nH]n2)c1OC
5.3,c1ccc(CNc2ncncc2-c2ccoc2)cc1
5.7,CN(C)c1ccc(NC(=O)c2cccc(N3C(=O)C4C5C=CC(C5)C4C3=O)c2)cc1
4.5,COc1cc(CNCCN2CCOCC2)ccc1OCc1ccc(Cl)cc1Cl.Cl
4.8,CC(C)(C)CC(=O)NC(=S)N1CCCCCC1
8.1,O=c1oc2cc(/N=C\c3ccc4c(c3)OCO4)ccc2c2ccccc12
4.9,CC#C[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](c3ccc(N(C)C)cc3)C[C@]21C
4.7,O=C(Oc1ccccc1[N+](=O)[O-])c1cccnc1
5.3,Cc1ccc(CNC(=O)C2CC(c3ccccc3[N+](=O)[O-])=NO2)cc1
5.85,Clc1ccc(Sc2cc(N3CCOCC3)nc(-c3ccccc3)n2)cc1
4.8,COC(=O)C1CCC(C)(C(=O)Nc2ccccc2)C1(C)C
4.85,CCOc1ccc2nc(O)c(CN(CCc3ccccc3)C(=O)N3CCCC3)cc2c1
4.9,CCOC(=O)c1cccc(NC(=O)COc2ccc([N+](=O)[O-])cc2)c1
4.8,CCCCC(=O)Nc1cc(C(=O)NCCc2ccccc2)ccc1Cl
6.0,Cc1cc2cc3c(C)cc(=O)oc3c(C)c2o1
5.8,CN(C)c1ncc2nc(CCc3ccccc3)c(=O)n(Cc3cccs3)c2n1
4.8,O=C(CN1C(=O)C2C3C=CC(C3)C2C1=O)Nc1ccc2c(c1)OCCO2
5.3,O=C(Nc1ccccc1C(=O)O)c1ccc2ccccc2n1
4.8,COc1ccc(CC(=O)Nc2cccc(-c3nnc(-c4ccco4)o3)c2)cc1
4.9,Cc1c(CCO)c(=O)n(-c2ccccc2)n1S(=O)(=O)c1c(Cl)cc(Cl)cc1Cl
4.5,O=C(NCCCN1CCCCCC1)[C@@H](c1ccccc1)C1CCCCC1
5.0,Cc1ccc(/C=C/c2ccc(=O)n(Cc3ccc(Cl)cc3Cl)n2)cc1
5.1,COc1ccc(S(=O)(=O)N2Cc3ccccc3CC2C(=O)Nc2nccs2)cc1
5.5,CN(Cc1cc(C(C)(C)C)cc(Br)c1O)Cc1cc(C(C)(C)C)cc(Br)c1O
